Entity,Code,Year,Number of people living in extreme poverty - by world region
China,CHN,1990,752268639
China,CHN,1991,734939438
China,CHN,1992,702348161
China,CHN,1993,668104363
China,CHN,1994,626952468
China,CHN,1995,562378364
China,CHN,1996,507983690
China,CHN,1997,509265469
China,CHN,1998,508925178
China,CHN,1999,504291008
China,CHN,2000,460709587
China,CHN,2001,437435541
China,CHN,2002,405848449
China,CHN,2003,359413103
China,CHN,2004,303458902
China,CHN,2005,241655350
China,CHN,2006,227570474
China,CHN,2007,206861271
China,CHN,2008,196750282
China,CHN,2009,174826494
China,CHN,2010,149895297
China,CHN,2011,106752648
China,CHN,2012,87982556
China,CHN,2013,25363242
China,CHN,2014,18690656
China,CHN,2015,10034379
China,CHN,2016,7286907
China,CHN,2017,5940525
China,CHN,2018,3949103
East Asia and Pacific,,1990,977088368
East Asia and Pacific,,1991,959416121
East Asia and Pacific,,1992,927808316
East Asia and Pacific,,1993,891527725
East Asia and Pacific,,1994,843485756
East Asia and Pacific,,1995,765857310
East Asia and Pacific,,1996,699471829
East Asia and Pacific,,1997,706249070
East Asia and Pacific,,1998,737279471
East Asia and Pacific,,1999,681207380
East Asia and Pacific,,2000,631964512
East Asia and Pacific,,2001,600142453
East Asia and Pacific,,2002,537870540
East Asia and Pacific,,2003,482622806
East Asia and Pacific,,2004,422843136
East Asia and Pacific,,2005,347048056
East Asia and Pacific,,2006,340904969
East Asia and Pacific,,2007,302146535
East Asia and Pacific,,2008,285557459
East Asia and Pacific,,2009,250938372
East Asia and Pacific,,2010,211739300
East Asia and Pacific,,2011,161144385
East Asia and Pacific,,2012,137081649
East Asia and Pacific,,2013,65562329
East Asia and Pacific,,2014,53808953
East Asia and Pacific,,2015,42092020
East Asia and Pacific,,2016,35440679
East Asia and Pacific,,2017,30207381
East Asia and Pacific,,2018,25022207
East Asia and Pacific excluding China,,1990,224819729
East Asia and Pacific excluding China,,1991,224476683
East Asia and Pacific excluding China,,1992,225460155
East Asia and Pacific excluding China,,1993,223423362
East Asia and Pacific excluding China,,1994,216533288
East Asia and Pacific excluding China,,1995,203478946
East Asia and Pacific excluding China,,1996,191488139
East Asia and Pacific excluding China,,1997,196983601
East Asia and Pacific excluding China,,1998,228354293
East Asia and Pacific excluding China,,1999,176916372
East Asia and Pacific excluding China,,2000,171254925
East Asia and Pacific excluding China,,2001,162706912
East Asia and Pacific excluding China,,2002,132022091
East Asia and Pacific excluding China,,2003,123209703
East Asia and Pacific excluding China,,2004,119384234
East Asia and Pacific excluding China,,2005,105392706
East Asia and Pacific excluding China,,2006,113334495
East Asia and Pacific excluding China,,2007,95285264
East Asia and Pacific excluding China,,2008,88807177
East Asia and Pacific excluding China,,2009,76111878
East Asia and Pacific excluding China,,2010,61844003
East Asia and Pacific excluding China,,2011,54391737
East Asia and Pacific excluding China,,2012,49099093
East Asia and Pacific excluding China,,2013,40199087
East Asia and Pacific excluding China,,2014,35118297
East Asia and Pacific excluding China,,2015,32057641
East Asia and Pacific excluding China,,2016,28153772
East Asia and Pacific excluding China,,2017,24266856
East Asia and Pacific excluding China,,2018,21073104
Europe and Central Asia,,1990,10570492
Europe and Central Asia,,1991,12855458
Europe and Central Asia,,1992,19640156
Europe and Central Asia,,1993,24122070
Europe and Central Asia,,1994,31510861
Europe and Central Asia,,1995,31807676
Europe and Central Asia,,1996,32018881
Europe and Central Asia,,1997,28138885
Europe and Central Asia,,1998,28194035
Europe and Central Asia,,1999,36876119
Europe and Central Asia,,2000,34860912
Europe and Central Asia,,2001,31059338
Europe and Central Asia,,2002,26865269
Europe and Central Asia,,2003,27155391
Europe and Central Asia,,2004,22634019
Europe and Central Asia,,2005,22041546
Europe and Central Asia,,2006,18635147
Europe and Central Asia,,2007,15610020
Europe and Central Asia,,2008,12756047
Europe and Central Asia,,2009,11831450
Europe and Central Asia,,2010,11269767
Europe and Central Asia,,2011,9773836
Europe and Central Asia,,2012,9100971
Europe and Central Asia,,2013,7892320
Europe and Central Asia,,2014,8872839
Europe and Central Asia,,2015,7475922
Europe and Central Asia,,2016,6457513
Europe and Central Asia,,2017,6467244
Europe and Central Asia,,2018,4903270
High income countries,,1990,4070622
High income countries,,1991,4057982
High income countries,,1992,4194210
High income countries,,1993,4547720
High income countries,,1994,4482187
High income countries,,1995,4485853
High income countries,,1996,4356472
High income countries,,1997,5148284
High income countries,,1998,5208773
High income countries,,1999,4942608
High income countries,,2000,4713282
High income countries,,2001,4739489
High income countries,,2002,4730433
High income countries,,2003,5544299
High income countries,,2004,5337526
High income countries,,2005,5480998
High income countries,,2006,5195278
High income countries,,2007,5153099
High income countries,,2008,5317524
High income countries,,2009,5385998
High income countries,,2010,5283394
High income countries,,2011,5936261
High income countries,,2012,6104628
High income countries,,2013,6785233
High income countries,,2014,7309667
High income countries,,2015,7930903
High income countries,,2016,6906909
High income countries,,2017,7673933
High income countries,,2018,6674078
India,IND,1990,428532540
India,IND,1991,434487636
India,IND,1992,440642216
India,IND,1993,444546930
India,IND,1994,447908471
India,IND,1995,449914546
India,IND,1996,447349450
India,IND,1997,452500119
India,IND,1998,453265896
India,IND,1999,452262611
India,IND,2000,456375015
India,IND,2001,456418340
India,IND,2002,460914170
India,IND,2003,460801724
India,IND,2004,458716561
India,IND,2005,448031747
India,IND,2006,439807768
India,IND,2007,427066277
India,IND,2008,416464877
India,IND,2009,410075497
India,IND,2010,369067750
India,IND,2011,297161584
India,IND,2012,273111678
India,IND,2013,245321295
India,IND,2014,219412159
India,IND,2015,190999148
India,IND,2016,163154156
India,IND,2017,142810367
India,IND,2018,123443521
Latin America and the Caribbean,,1990,68124083
Latin America and the Caribbean,,1991,65498048
Latin America and the Caribbean,,1992,66850300
Latin America and the Caribbean,,1993,67362472
Latin America and the Caribbean,,1994,63481304
Latin America and the Caribbean,,1995,64822684
Latin America and the Caribbean,,1996,74298597
Latin America and the Caribbean,,1997,71177927
Latin America and the Caribbean,,1998,68673964
Latin America and the Caribbean,,1999,70563277
Latin America and the Caribbean,,2000,65986481
Latin America and the Caribbean,,2001,65673762
Latin America and the Caribbean,,2002,63151566
Latin America and the Caribbean,,2003,61446177
Latin America and the Caribbean,,2004,56453236
Latin America and the Caribbean,,2005,54043983
Latin America and the Caribbean,,2006,44542366
Latin America and the Caribbean,,2007,42754475
Latin America and the Caribbean,,2008,40400255
Latin America and the Caribbean,,2009,38650908
Latin America and the Caribbean,,2010,35445339
Latin America and the Caribbean,,2011,33126133
Latin America and the Caribbean,,2012,28165389
Latin America and the Caribbean,,2013,25547270
Latin America and the Caribbean,,2014,24152353
Latin America and the Caribbean,,2015,24027199
Latin America and the Caribbean,,2016,25514231
Latin America and the Caribbean,,2017,25603214
Latin America and the Caribbean,,2018,25337029
Middle East and North Africa,,1990,14476419
Middle East and North Africa,,1991,23409295
Middle East and North Africa,,1992,19222412
Middle East and North Africa,,1993,16113613
Middle East and North Africa,,1994,15886258
Middle East and North Africa,,1995,16797440
Middle East and North Africa,,1996,15332621
Middle East and North Africa,,1997,13434624
Middle East and North Africa,,1998,11116773
Middle East and North Africa,,1999,10362919
Middle East and North Africa,,2000,9452492
Middle East and North Africa,,2001,9647371
Middle East and North Africa,,2002,9688080
Middle East and North Africa,,2003,12473601
Middle East and North Africa,,2004,9930528
Middle East and North Africa,,2005,9450203
Middle East and North Africa,,2006,9138154
Middle East and North Africa,,2007,9037346
Middle East and North Africa,,2008,8820140
Middle East and North Africa,,2009,8195994
Middle East and North Africa,,2010,6936159
Middle East and North Africa,,2011,7816728
Middle East and North Africa,,2012,7583122
Middle East and North Africa,,2013,7882568
Middle East and North Africa,,2014,9470472
Middle East and North Africa,,2015,17521484
Middle East and North Africa,,2016,20004752
Middle East and North Africa,,2017,22744407
Middle East and North Africa,,2018,29103108
South Asia,,1990,561301855
South Asia,,1991,566191316
South Asia,,1992,557949282
South Asia,,1993,556366080
South Asia,,1994,558068922
South Asia,,1995,546627563
South Asia,,1996,540547499
South Asia,,1997,548306248
South Asia,,1998,554602990
South Asia,,1999,555268636
South Asia,,2000,561219492
South Asia,,2001,564457993
South Asia,,2002,571774283
South Asia,,2003,565504487
South Asia,,2004,549587650
South Asia,,2005,530519020
South Asia,,2006,517350296
South Asia,,2007,497894888
South Asia,,2008,483706846
South Asia,,2009,473227709
South Asia,,2010,425014222
South Asia,,2011,348309927
South Asia,,2012,322485600
South Asia,,2013,291636780
South Asia,,2014,262735763
South Asia,,2015,231179655
South Asia,,2016,199694107
South Asia,,2017,172136963
South Asia,,2018,148164264
South Asia excluding India,,1990,132769315
South Asia excluding India,,1991,131703680
South Asia excluding India,,1992,117307066
South Asia excluding India,,1993,111819150
South Asia excluding India,,1994,110160451
South Asia excluding India,,1995,96713017
South Asia excluding India,,1996,93198049
South Asia excluding India,,1997,95806129
South Asia excluding India,,1998,101337094
South Asia excluding India,,1999,103006025
South Asia excluding India,,2000,104844477
South Asia excluding India,,2001,108039653
South Asia excluding India,,2002,110860113
South Asia excluding India,,2003,104702763
South Asia excluding India,,2004,90871089
South Asia excluding India,,2005,82487273
South Asia excluding India,,2006,77542528
South Asia excluding India,,2007,70828611
South Asia excluding India,,2008,67241969
South Asia excluding India,,2009,63152212
South Asia excluding India,,2010,55946472
South Asia excluding India,,2011,51148343
South Asia excluding India,,2012,49373922
South Asia excluding India,,2013,46315485
South Asia excluding India,,2014,43323604
South Asia excluding India,,2015,40180507
South Asia excluding India,,2016,36539951
South Asia excluding India,,2017,29326596
South Asia excluding India,,2018,24720743
Sub-Saharan Africa,,1990,280583869
Sub-Saharan Africa,,1991,297556239
Sub-Saharan Africa,,1992,313958935
Sub-Saharan Africa,,1993,330259563
Sub-Saharan Africa,,1994,342176140
Sub-Saharan Africa,,1995,348078626
Sub-Saharan Africa,,1996,351568962
Sub-Saharan Africa,,1997,359604022
Sub-Saharan Africa,,1998,368638851
Sub-Saharan Africa,,1999,377545713
Sub-Saharan Africa,,2000,384738570
Sub-Saharan Africa,,2001,390171576
Sub-Saharan Africa,,2002,393705439
Sub-Saharan Africa,,2003,396925139
Sub-Saharan Africa,,2004,389634397
Sub-Saharan Africa,,2005,387687456
Sub-Saharan Africa,,2006,388639537
Sub-Saharan Africa,,2007,389910636
Sub-Saharan Africa,,2008,389906349
Sub-Saharan Africa,,2009,397863771
Sub-Saharan Africa,,2010,393498317
Sub-Saharan Africa,,2011,394300539
Sub-Saharan Africa,,2012,399346303
Sub-Saharan Africa,,2013,400990587
Sub-Saharan Africa,,2014,400828211
Sub-Saharan Africa,,2015,411486589
Sub-Saharan Africa,,2016,417779542
Sub-Saharan Africa,,2017,419828419
Sub-Saharan Africa,,2018,419828171